DataSet,Execution_Time,No_Of_Iterations,No_Of_Comparisons,,Data Set,Execution_Time,B_Iteration,B_Comparison
100,0,4950,2329,,100,0,4950,0
200,0,19900,10918,,200,0,19900,0
300,0,44850,22466,,300,0,44850,0
500,0,124750,62339,,500,0,124750,0
1000,0,499500,252657,,1000,0,499500,0
2000,0.015594,1.999e+006,985058,,2000,0,1.999e+006,0
3000,0.0312425,4.4985e+006,2.22832e+006,,3000,0.0156209,4.4985e+006,0
5000,0.0937274,1.24975e+007,6.39829e+006,,5000,0.0312428,1.24975e+007,0
10000,0.343669,4.9995e+007,2.49188e+007,,10000,0.156213,4.9995e+007,0
20000,1.37468,1.9999e+008,9.95069e+007,,20000,0.577989,1.9999e+008,0
