DataSet,Execution Time,No_of_Iteration,No_Of_Comparisons,,,data Set,Exec_B,Iteration_B,B_Comparison
100,0,98,2158,,,100,0,98,0,
200,0,198,10461,,,200,0,198,0,
300,0,298,21862,,,300,0,298,0,
500,0,498,60994,,,500,0,498,0,
1000,0,998,242545,,,1000,0,998,0,
2000,0,1998,1.0122e+006,,,2000,0,1998,0,
3000,0.015567,2998,2.2673e+006,,,3000,0,2998,0,
5000,0.0156191,4998,6.29906e+006,,,5000,0,4998,0,
10000,0.0624847,9998,2.49755e+007,,,10000,0,9998,0,
20000,0.29681,19998,1.00263e+008,,,20000,0,19998,0,
30000,0.656095,29998,2.25257e+008,,,30000,0,29998,0,
50000,1.79643,49998,6.21197e+008,,,50000,0,49998,0,
100000,7.23269,99998,2.50252e+009,,,100000,0,99998,0,
